,Marka,Płeć kupującego,Ocena
4,Beko,K,2.5
12,Beko,K,1.5
14,Beko,K,3.0
31,Beko,K,3.0
33,Beko,K,0.5
35,Beko,K,1.5
43,Beko,K,4.5
47,Beko,K,3.5
57,Beko,K,1.0
59,Beko,K,3.0
61,Beko,K,2.0
64,Beko,K,2.5
66,Beko,K,3.0
70,Beko,K,0.0
74,Beko,K,5.0
77,Beko,K,1.0
81,Beko,K,4.0
83,Beko,K,1.5
89,Beko,K,0.5
90,Beko,K,3.0
95,Beko,K,4.5
97,Beko,K,3.0
103,Beko,K,1.0
108,Beko,K,2.5
115,Beko,K,2.0
120,Beko,K,2.5
127,Beko,K,2.5
132,Beko,K,2.5
151,Beko,K,0.5
157,Beko,K,3.5
166,Beko,K,4.5
169,Beko,K,2.5
170,Beko,K,2.5
177,Beko,K,3.0
180,Beko,K,3.5
182,Beko,K,2.0
186,Beko,K,5.0
189,Beko,K,1.5
190,Beko,K,0.5
202,Beko,K,2.0
217,Beko,K,2.5
230,Beko,K,2.0
244,Beko,K,4.5
248,Beko,K,1.0
252,Beko,K,2.0
265,Beko,K,3.0
275,Beko,K,0.5
280,Beko,K,0.5
281,Beko,K,1.0
282,Beko,K,2.0
286,Beko,K,3.5
294,Beko,K,2.0
297,Beko,K,4.0
298,Beko,K,1.5
299,Beko,K,2.5
306,Beko,K,3.5
309,Beko,K,2.0
315,Beko,K,2.0
316,Beko,K,2.0
317,Beko,K,2.0
319,Beko,K,1.5
322,Beko,K,2.5
331,Beko,K,2.5
332,Beko,K,1.0
335,Beko,K,4.0
341,Beko,K,3.0
344,Beko,K,4.0
346,Beko,K,1.5
353,Beko,K,5.0
354,Beko,K,3.5
356,Beko,K,2.5
360,Beko,K,0.5
366,Beko,K,2.0
367,Beko,K,4.0
371,Beko,K,2.0
377,Beko,K,2.0
381,Beko,K,5.0
383,Beko,K,3.5
389,Beko,K,1.0
393,Beko,K,3.0
394,Beko,K,2.5
399,Beko,K,3.0
405,Beko,K,2.0
412,Beko,K,1.0
415,Beko,K,4.0
417,Beko,K,1.0
428,Beko,K,3.5
458,Beko,K,4.0
463,Beko,K,2.0
