,Marka,Płeć kupującego,Ocena
9,Electrolux,M,0.5
16,Electrolux,M,1.5
26,Electrolux,M,3.0
38,Electrolux,M,2.0
122,Electrolux,M,2.5
130,Electrolux,M,2.0
149,Electrolux,M,1.0
172,Electrolux,M,4.0
173,Electrolux,M,1.5
192,Electrolux,M,3.0
193,Electrolux,M,2.5
198,Electrolux,M,2.5
199,Electrolux,M,2.0
200,Electrolux,M,1.0
208,Electrolux,M,3.0
212,Electrolux,M,3.5
229,Electrolux,M,2.5
231,Electrolux,M,2.5
239,Electrolux,M,1.5
253,Electrolux,M,1.0
277,Electrolux,M,2.5
313,Electrolux,M,1.5
323,Electrolux,M,1.5
336,Electrolux,M,3.5
355,Electrolux,M,3.0
384,Electrolux,M,1.5
406,Electrolux,M,3.5
